id,corner_index,corner_name,x,y,z
0,0,BL,-0.9,1.0,0.024999999999999994
0,1,BR,-0.7999999999999999,1.0,0.024999999999999994
0,2,TR,-0.7999999999999999,1.0,0.125
0,3,TL,-0.9,1.0,0.125
1,0,BL,-0.6000000000000001,1.0,0.024999999999999994
1,1,BR,-0.5,1.0,0.024999999999999994
1,2,TR,-0.5,1.0,0.125
1,3,TL,-0.6000000000000001,1.0,0.125
2,0,BL,-0.3,1.0,0.024999999999999994
2,1,BR,-0.2,1.0,0.024999999999999994
2,2,TR,-0.2,1.0,0.125
2,3,TL,-0.3,1.0,0.125
3,0,BL,0.2,1.0,0.024999999999999994
3,1,BR,0.3,1.0,0.024999999999999994
3,2,TR,0.3,1.0,0.125
3,3,TL,0.2,1.0,0.125
4,0,BL,0.5,1.0,0.024999999999999994
4,1,BR,0.6000000000000001,1.0,0.024999999999999994
4,2,TR,0.6000000000000001,1.0,0.125
4,3,TL,0.5,1.0,0.125
5,0,BL,0.7999999999999999,1.0,0.024999999999999994
5,1,BR,0.9,1.0,0.024999999999999994
5,2,TR,0.9,1.0,0.125
5,3,TL,0.7999999999999999,1.0,0.125
6,0,BL,1.0,0.9,0.024999999999999994
6,1,BR,1.0,0.8,0.025
6,2,TR,1.0,0.8,0.125
6,3,TL,1.0,0.9,0.125
7,0,BL,1.0,0.6,0.024999999999999994
7,1,BR,1.0,0.5,0.025
7,2,TR,1.0,0.5,0.125
7,3,TL,1.0,0.6000000000000001,0.125
8,0,BL,1.0,0.3,0.024999999999999994
8,1,BR,1.0,0.2,0.025
8,2,TR,1.0,0.2,0.125
8,3,TL,1.0,0.3,0.125
9,0,BL,1.0,-0.2,0.024999999999999994
9,1,BR,1.0,-0.3,0.025
9,2,TR,1.0,-0.3,0.125
9,3,TL,1.0,-0.2,0.125
10,0,BL,1.0,-0.5,0.024999999999999994
10,1,BR,1.0,-0.6000000000000001,0.025
10,2,TR,1.0,-0.6,0.125
10,3,TL,1.0,-0.5,0.125
11,0,BL,1.0,-0.8,0.024999999999999994
11,1,BR,1.0,-0.9,0.025
11,2,TR,1.0,-0.9,0.125
11,3,TL,1.0,-0.7999999999999999,0.125
12,0,BL,0.9,-1.0,0.024999999999999994
12,1,BR,0.8,-1.0,0.024999999999999994
12,2,TR,0.8,-1.0,0.125
12,3,TL,0.9,-1.0,0.125
13,0,BL,0.6,-1.0,0.024999999999999994
13,1,BR,0.5,-1.0,0.024999999999999994
13,2,TR,0.5,-1.0,0.125
13,3,TL,0.6,-1.0,0.125
14,0,BL,0.3,-1.0,0.024999999999999994
14,1,BR,0.2,-1.0,0.024999999999999994
14,2,TR,0.2,-1.0,0.125
14,3,TL,0.3,-1.0,0.125
15,0,BL,-0.2,-1.0,0.024999999999999994
15,1,BR,-0.3,-1.0,0.024999999999999994
15,2,TR,-0.3,-1.0,0.125
15,3,TL,-0.2,-1.0,0.125
16,0,BL,-0.5,-1.0,0.024999999999999994
16,1,BR,-0.6,-1.0,0.024999999999999994
16,2,TR,-0.6,-1.0,0.125
16,3,TL,-0.5,-1.0,0.125
17,0,BL,-0.8,-1.0,0.024999999999999994
17,1,BR,-0.9,-1.0,0.024999999999999994
17,2,TR,-0.9,-1.0,0.125
17,3,TL,-0.8,-1.0,0.125
18,0,BL,-1.0,-0.9,0.024999999999999994
18,1,BR,-1.0,-0.8,0.025
18,2,TR,-1.0,-0.8,0.125
18,3,TL,-1.0,-0.9,0.125
19,0,BL,-1.0,-0.6,0.024999999999999994
19,1,BR,-1.0,-0.5,0.025
19,2,TR,-1.0,-0.5,0.125
19,3,TL,-1.0,-0.6,0.125
20,0,BL,-1.0,-0.3,0.024999999999999994
20,1,BR,-1.0,-0.2,0.025
20,2,TR,-1.0,-0.2,0.125
20,3,TL,-1.0,-0.3,0.125
21,0,BL,-1.0,0.2,0.024999999999999994
21,1,BR,-1.0,0.3,0.025
21,2,TR,-1.0,0.3,0.125
21,3,TL,-1.0,0.2,0.125
22,0,BL,-1.0,0.5,0.024999999999999994
22,1,BR,-1.0,0.6,0.025
22,2,TR,-1.0,0.6,0.125
22,3,TL,-1.0,0.5,0.125
23,0,BL,-1.0,0.8,0.024999999999999994
23,1,BR,-1.0,0.9,0.025
23,2,TR,-1.0,0.9,0.125
23,3,TL,-1.0,0.8,0.125
